Rk,Team,Age,W,L,PW,PL,MOV,SOS,SRS,ORtg,DRtg,NRtg,Pace,FTr,3PAr,TS%,Unnamed: 17,eFG%,TOV%,ORB%,FT/FGA,Unnamed: 22,eFG%.1,TOV%.1,DRB%,FT/FGA.1,Unnamed: 27,Arena,Attend.,Attend./G,Year,G,MP,FG%,Dist.,Unnamed: 6,2P,0-3,3-10,10-16,16-3P,3P,Unnamed: 13,2P.1,0-3.1,3-10.1,10-16.1,16-3P.1,3P.1,Unnamed: 20,2P.2,3P.2,Unnamed: 23,%FGA,Md.,Unnamed: 26,%FGA.1,Md..1,Unnamed: 29,%3PA,3P%,Unnamed: 32,Att.,Md..2
24.0,Phoenix Suns,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,73.0,17595.0,0.472,13.4,,0.634,0.311,0.152,0.089,0.082,0.366,,0.535,0.66,0.418,0.401,0.421,0.363,,0.49,0.783,,0.06,353.0,,0.287,1017.0,,0.204,0.379,,,
25.0,Portland Trail Blazers*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,74.0,17835.0,0.456,13.7,,0.614,0.297,0.156,0.088,0.072,0.386,,0.501,0.618,0.381,0.395,0.411,0.383,,0.494,0.808,,0.057,346.0,,0.272,960.0,,0.214,0.405,,,
26.0,Sacramento Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17455.0,0.471,14.1,,0.593,0.275,0.167,0.085,0.066,0.407,,0.549,0.708,0.402,0.436,0.399,0.357,,0.523,0.83,,0.058,325.0,,0.272,985.0,,0.223,0.378,,,
27.0,San Antonio Spurs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,71.0,17215.0,0.469,14.0,,0.611,0.282,0.158,0.094,0.076,0.389,,0.53,0.665,0.393,0.42,0.451,0.373,,0.507,0.831,,0.06,343.0,,0.271,945.0,,0.191,0.401,,,
28.0,Toronto Raptors*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17380.0,0.428,14.7,,0.56,0.261,0.149,0.091,0.06,0.44,,0.499,0.624,0.385,0.409,0.379,0.337,,0.566,0.884,,0.046,251.0,,0.247,813.0,,0.308,0.365,,,
29.0,Utah Jazz*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17355.0,0.457,13.8,,0.652,0.248,0.191,0.119,0.094,0.348,,0.512,0.673,0.398,0.44,0.409,0.353,,0.439,0.771,,0.048,283.0,,0.265,934.0,,0.167,0.389,,,
30.0,Washington Wizards,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,72.0,17355.0,0.488,13.8,,0.625,0.274,0.182,0.088,0.08,0.375,,0.555,0.7,0.445,0.444,0.431,0.376,,0.495,0.806,,0.065,373.0,,0.291,1041.0,,0.181,0.424,,,
,League Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2020,71.0,17069.0,0.46,13.9,,0.616,0.282,0.165,0.093,0.077,0.384,,0.524,0.667,0.396,0.416,0.404,0.358,,0.504,0.815,,0.059,330.0,,0.276,943.0,,0.211,0.39,,,
1.0,Atlanta Hawks*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,16165.0,0.444,12.6,,0.788,0.299,0.142,0.102,0.245,0.212,,0.47,0.627,0.385,0.353,0.377,0.344,,0.519,0.821,,0.043,200.0,,0.25,796.0,,0.251,0.358,,,
2.0,Boston Celtics*,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2012,66.0,15940.0,0.419,12.0,,0.788,0.309,0.162,0.133,0.184,0.212,,0.449,0.599,0.354,0.352,0.353,0.308,,0.507,0.84,,0.051,253.0,,0.245,674.0,,0.273,0.308,,,
