Rk,team,G,MP,FG.,Dist.,X2P,X0.3,X3.10,X10.16,X16.3P,X3P,X2P.1,X0.3.1,X3.10.1,X10.16.1,X16.3P.1,X3P.1,X2P.2,X3P.2,X.FGA,Md.,X.FGA.1,Md..1,X.3PA,X3P.,Att.,Md..2,year
6,dallas mavericks,82,19880,0.464,12.7,0.778,0.282,0.127,0.142,0.229,0.222,0.491,0.6,0.422,0.41,0.444,0.372,0.556,0.864,0.038,235,0.224,853,0.221,0.399,13,0,2009
7,denver nuggets,82,19780,0.468,12,0.773,0.351,0.11,0.094,0.218,0.227,0.5,0.623,0.388,0.4,0.401,0.359,0.503,0.772,0.066,407,0.265,998,0.214,0.4,16,0,2009
8,detroit pistons,82,19780,0.445,11.8,0.82,0.319,0.125,0.145,0.23,0.18,0.474,0.588,0.395,0.414,0.396,0.314,0.49,0.89,0.045,264,0.251,894,0.322,0.334,14,0,2009
9,golden state warriors,82,19730,0.469,13.3,0.762,0.298,0.113,0.095,0.256,0.238,0.499,0.651,0.367,0.393,0.419,0.375,0.481,0.858,0.039,262,0.246,1063,0.253,0.433,20,0,2009
10,houston rockets,82,19905,0.447,12,0.735,0.346,0.134,0.089,0.165,0.265,0.481,0.572,0.427,0.382,0.388,0.351,0.507,0.85,0.031,196,0.301,1125,0.24,0.395,15,0,2009
11,indiana pacers,82,19705,0.443,13.4,0.722,0.28,0.135,0.098,0.209,0.278,0.479,0.599,0.425,0.403,0.39,0.348,0.474,0.926,0.034,216,0.237,911,0.189,0.362,11,0,2009
12,los angeles clippers,82,19705,0.455,12,0.779,0.341,0.113,0.117,0.208,0.221,0.49,0.602,0.458,0.362,0.394,0.332,0.563,0.814,0.046,281,0.267,992,0.225,0.366,19,0,2009
13,los angeles lakers,82,19830,0.457,12.1,0.773,0.311,0.15,0.121,0.191,0.227,0.492,0.597,0.436,0.426,0.406,0.341,0.497,0.812,0.054,344,0.233,860,0.231,0.382,18,1,2009
14,memphis grizzlies,82,19905,0.469,10.5,0.852,0.37,0.168,0.11,0.203,0.148,0.492,0.605,0.432,0.383,0.395,0.337,0.433,0.86,0.048,301,0.297,1145,0.223,0.419,25,2,2009
15,miami heat,82,19880,0.458,13,0.781,0.272,0.114,0.14,0.256,0.219,0.489,0.641,0.445,0.393,0.399,0.346,0.461,0.81,0.061,363,0.192,708,0.266,0.389,12,0,2009
16,milwaukee bucks,82,19980,0.436,13,0.741,0.288,0.13,0.114,0.209,0.259,0.464,0.56,0.411,0.375,0.413,0.356,0.495,0.851,0.029,184,0.231,853,0.285,0.398,9,1,2009
17,minnesota timberwolves,82,19780,0.449,11.5,0.829,0.308,0.166,0.146,0.21,0.171,0.471,0.606,0.412,0.39,0.374,0.341,0.475,0.846,0.037,234,0.25,977,0.224,0.358,21,2,2009
18,new jersey nets,82,19780,0.429,11.4,0.819,0.346,0.126,0.119,0.229,0.181,0.454,0.568,0.379,0.365,0.368,0.318,0.496,0.881,0.054,316,0.266,906,0.318,0.361,14,3,2009
19,new orleans hornets,82,19830,0.464,12.3,0.77,0.318,0.121,0.127,0.204,0.23,0.495,0.606,0.432,0.4,0.418,0.363,0.52,0.828,0.031,188,0.265,1059,0.203,0.423,10,0,2009
20,new york knicks,82,19880,0.455,13.4,0.688,0.327,0.087,0.071,0.203,0.312,0.504,0.614,0.399,0.414,0.403,0.346,0.479,0.849,0.036,233,0.271,1070,0.204,0.377,13,1,2009
21,oklahoma city thunder,82,19805,0.462,11.5,0.815,0.332,0.125,0.135,0.223,0.185,0.49,0.612,0.43,0.406,0.393,0.34,0.48,0.883,0.064,389,0.247,878,0.232,0.333,7,0,2009
